Zero Values,Missing Values,% of Total Values,Total Zero Missing Values,% Total Zero Missing Values,Data Type
0,180519,100.0,180519,100.0,float64
0,155679,86.24,155679,86.24,float64
0,8,0.0,8,0.0,object
0,3,0.0,3,0.0,float64
